"Promoter Name"	"Absolute-Plus-1-Position"	"Component-Of"
PM0-45951	4077119	COLI-K12-81
PM0-9820		TU0-14537
PM0-1303	2714545	COLI-K12-54 // TU0-1143
PM0-44913	1489677	COLI-K12-29
PM0-5261	3242879	COLI-K12-65 // TU0-5021
PM00365	1246648	COLI-K12-25 // TU00396
PM0-44474	429754	COLI-K12-8
PM0-45275	2280460	COLI-K12-45
PM0-9727	4482296	COLI-K12-89 // TU0-14474
PM383	1266122	COLI-K12-25 // TU305
PM0-44841	1328827	COLI-K12-26
PM0-45642	3252302	COLI-K12-65
PM00280	4285694	COLI-K12-85 // TU00199
PM0-10045	1626350	COLI-K12-32 // TU0-13311
PM0-45206	2105468	COLI-K12-42
PM0-46007	4306018	COLI-K12-86
PM1021	2253312	COLI-K12-45 // TU861
PM0-2222	141263	COLI-K12-2 // TU0-2042
PM0-45570	3132042	COLI-K12-62
PM0-7522	3851215	COLI-K12-77 // TU0-7182
PM0-45935	4056253	COLI-K12-81
PM0-44530	572997	COLI-K12-11
PM-8780	3326875	COLI-K12-66 // TU-8397
PM0-9801		TU0-14154
PM0-1123	4453751	COLI-K12-89 // TU0-963
PM0-44897	1435082	COLI-K12-28
PM0-5	3099662	COLI-K12-62 // TU0-4
PM00349	753893	COLI-K12-15 // TU00416
PM0-44458	383932	COLI-K12-7
PM0-45260	2256579	COLI-K12-45
PM0-9709	22229	COLI-K12-0 // TU0-14465
PM328	2597901	COLI-K12-52 // TU0-6503
PM0-44825	1287976	COLI-K12-25
PM0-45626	3234535	COLI-K12-64
PM00256	3597785	COLI-K12-72 // TU00183
PM0-10027	1288400	COLI-K12-25 // TU0-13183
PM0-45190	2078685	COLI-K12-41
PM0-45991	4259681	COLI-K12-85
PM00663	925229	COLI-K12-18 // TU00508
PM0-1962	1257105	COLI-K12-25 // TU0-1782
PM0-45554	3109298	COLI-K12-62
PM0-7161	629096	COLI-K12-12 // TU0-6821
PM0-45919	4003856	COLI-K12-80
PM0-44514	556114	COLI-K12-11
PM0-10541	2763916	COLI-K12-55 // TU0-14327
PM0-9780		TU0-14501
PM0-4742	4311160	COLI-K12-86 // TU0-4502
PM0-44881	1418266	COLI-K12-28
PM0-9678	91012	COLI-K12-1 // TU0-14445
PM00332	236041	COLI-K12-4 // TU0-6685
PM0-44446	320761	COLI-K12-6
PM0-45245	2223691	COLI-K12-44
PM0-44810	1243778	COLI-K12-24
PM205	4638824	COLI-K12-92 // TU352
PM00229	1309078	COLI-K12-26 // TU00167
PM0-45610	3197716	COLI-K12-64
PM00647	779737	COLI-K12-15 // TU00492
PM0-10008	982246	COLI-K12-19 // TU0-13091
PM0-45177	2041642	COLI-K12-40
PM0-45975	4194737	COLI-K12-84
PM0-45538	3084204	COLI-K12-61
PM0-1621	3681521	COLI-K12-73 // TU0-1461
PM0-45903	3938729	COLI-K12-78
PM0-5801	3101010	COLI-K12-62 // TU0-5567 // TU0-5568 // TU0-5561
PM0-10505	1620612	COLI-K12-32 // TU0-13307
PM0-44498	504110	COLI-K12-10
PM0-46403	4071657	COLI-K12-81 // TU0-42689
PM0-9762		TU0-13669
PM0-9625	4526000	COLI-K12-90 // TU0-14424
PM0-44865	1390096	COLI-K12-27 // TU0-42524 // TU0-13216
PM0-44431	310684	COLI-K12-6
PM00316	12048	COLI-K12-0 // TU00260
PM0-44794	1216530	COLI-K12-24
PM0-45230	2190931	COLI-K12-43
PM00207	4516305	COLI-K12-90 // TU00460
PM176	3514274	COLI-K12-70 // TU875
PM00631	2310886	COLI-K12-46 // TU00476
PM0-45594	3170275	COLI-K12-63
PM0-45161	2006285	COLI-K12-40
PM-8819	3453656	COLI-K12-69 // TU-8433
PM0-45522	3007852	COLI-K12-60
PM0-45959	4100776	COLI-K12-82
PM0-45890	3864413	COLI-K12-77
PM0-1349	223485	COLI-K12-4 // TU0-1189
PM0-10467	3851868	COLI-K12-77 // TU0-14013
PM0-5361	3471707	COLI-K12-69 // TU0-5121
PM0-46381	84298	COLI-K12-1 // TU0-42656
PM0-44482	462976	COLI-K12-9
PM0-9596	1768396	COLI-K12-35 // TU0-13370
PM0-9742	231064	COLI-K12-4 // TU0-12840
PM0-44416	284431	COLI-K12-5
PM0-44849	1337217	COLI-K12-26
PM0-44778	1202178	COLI-K12-24
PM00291	2135607	COLI-K12-42 // TU00207
PM00179	4014414	COLI-K12-80 // TU00134
PM0-45214	2149101	COLI-K12-43
PM00614	461062	COLI-K12-9 // TU0-6621
PM124	1675999	COLI-K12-33 // TU00320
PM0-45145	1975956	COLI-K12-39
PM0-45578	3147505	COLI-K12-63
PM0-45506	2986458	COLI-K12-59
PM0-45943	4063994	COLI-K12-81
PM0-45874	3819311	COLI-K12-76
PM0-1201	4103808	COLI-K12-82 // TU0-1041
PM0-10438	1863748	COLI-K12-37 // TU0-13399
PM0-5143	3654983	COLI-K12-73 // TU0-4903
PM0-46362	1808906	COLI-K12-36 // TU0-13384
PM0-44466	398684	COLI-K12-8
PM0-44400	247544	COLI-K12-4
PM0-9718	2876937	COLI-K12-57 // TU0-14469
PM0-9575	2906724	COLI-K12-58 // TU0-14413
PM0-44833	1311079	COLI-K12-26
PM0-44762	1182073	COLI-K12-23
PM00267	3150097	COLI-K12-63 // TU00191
PM00157	328645	COLI-K12-6 // TU00116
PM0-45198	2097759	COLI-K12-42
PM0-45129	1938252	COLI-K12-38
PM00671	2997086	COLI-K12-60 // TU00516
PM0-45490	2967636	COLI-K12-59
PM0-45562	3128047	COLI-K12-62
PM0-45858	3774443	COLI-K12-75
PM0-45927	4022896	COLI-K12-80
PM0-10387	250880	COLI-K12-5 // TU0-12853
PM-8771	2960529	COLI-K12-59 // TU-8388
PM0-46345	3783218	COLI-K12-75 // TU0-42596
PM0-10557	2905990	COLI-K12-58 // TU0-14820
PM0-44384	214088	COLI-K12-4
PM0-4863	3604445	COLI-K12-72 // TU0-4623
PM0-9549	179214	COLI-K12-3 // TU0-14393
PM0-9693	2135217	COLI-K12-42 // TU0-14452
PM0-44746	1152316	COLI-K12-23
PM0-44453	345660	COLI-K12-6
PM00140	411753	COLI-K12-8 // TU00099
PM0-44818	1269079	COLI-K12-25
PM0-45113	1914143	COLI-K12-38
PM00242	962972	COLI-K12-19 // TU00175
PM00584	519173	COLI-K12-10 // TU0-6623
PM0-45182	2057852	COLI-K12-41
PM0-45474	2903688	COLI-K12-58
PM00655	2945404	COLI-K12-59 // TU00496
PM0-45842	3725790	COLI-K12-74
PM0-45546	3097779	COLI-K12-62
PM0-10362	4484135	COLI-K12-89 // TU0-14740
PM0-45911	4000898	COLI-K12-80
PM0-46327	1956771	COLI-K12-39 // TU0-42576
PM0-10519	4325102	COLI-K12-86 // TU0-14801
PM0-44368	157031	COLI-K12-3
PM0-4645	2689145	COLI-K12-53 // TU0-4405
PM0-9513	3453549	COLI-K12-69 // TU0-14373
PM0-9646	416201	COLI-K12-8 // TU0-12917
PM0-44730	1118734	COLI-K12-22
PM0-44439	319394	COLI-K12-6
PM00115	3790600	COLI-K12-76 // TU00225
PM0-44802	1228031	COLI-K12-24
PM0-45097	1891383	COLI-K12-37
PM00219	4345371	COLI-K12-87 // TU00159
PM00567	3190034	COLI-K12-63 // TU00279
PM00639	3342684	COLI-K12-67 // TU00487
PM0-45458	2859384	COLI-K12-57
PM0-45169	2031247	COLI-K12-40
PM0-45826	3698421	COLI-K12-74
PM0-45530	3030960	COLI-K12-60
PM0-10318	2087757	COLI-K12-41 // TU0-13493
PM0-10479	3166584	COLI-K12-63 // TU0-14791
PM0-46309	1475621	COLI-K12-29 // TU0-13250
PM0-46393	1435037	TU0-13240 // COLI-K12-28
PM0-44353	87947	COLI-K12-1 // TU0-12808
PM0-9608	490534	COLI-K12-9 // TU0-12947
PM0-9395	1030666	COLI-K12-20 // TU0-13105
PM0-44424	303482	COLI-K12-6
PM0-44714	1081466	COLI-K12-21
PM0-44786	1208895	COLI-K12-24
PM00097	1384716	COLI-K12-27 // TU00068
PM00194	357997	COLI-K12-7 // TU0-14378 // TU00142
PM0-45081	1868267	COLI-K12-37
PM00623	3567478	COLI-K12-71 // TU00469
PM00551	1328813	COLI-K12-26 // TU0-2505
PM0-45153	1985826	COLI-K12-39
PM0-45442	2764007	COLI-K12-55
PM0-45514	2991603	COLI-K12-60
PM0-45810	3651291	COLI-K12-73
PM0-45882	3840532	COLI-K12-77
PM0-10257	3176034	COLI-K12-63 // TU0-14702
PM0-10451	312509	COLI-K12-6 // TU0-14769
PM0-46275	3053495	COLI-K12-61 // TU0-13792
PM0-46371	1994930	COLI-K12-40 // TU0-42630
PM0-44338	11938	COLI-K12-0
PM0-44408	274511	COLI-K12-5
PM0-9361	1143951	COLI-K12-22 // TU-8407
PM0-9588	3667284	COLI-K12-73 // TU0-13965
PM0-44698	1043526	COLI-K12-20
PM0-44770	1197739	COLI-K12-24
PM00072	416325	COLI-K12-8 // TU00053
PM00169	2337561	COLI-K12-46 // TU00126
PM0-45065	1825093	COLI-K12-36
PM00606	4275470	COLI-K12-85 // TU00456
PM00535	1103082	COLI-K12-22 // TU00390
PM0-45137	1948784	COLI-K12-39
PM0-45426	2739773	COLI-K12-54
PM0-45498	2983723	COLI-K12-59
PM0-45794	3607953	COLI-K12-72
PM0-45866	3791752	COLI-K12-76
PM0-10230	1820326	COLI-K12-36 // TU0-13386
PM0-10411	3306108	COLI-K12-66 // TU0-14763
PM0-46200	3710066	COLI-K12-74 // TU0-42492
PM0-46354	3694387	COLI-K12-74 // TU0-14316
PM0-4386	200455	COLI-K12-4 // TU0-4146
PM0-44392	237235	COLI-K12-4
PM0-9300	1716058	COLI-K12-34 // TU0-8864
PM0-9564	2589582	COLI-K12-51 // TU0-14404
PM0-44682	996988	COLI-K12-20
PM0-44754	1174548	COLI-K12-23
PM00048	4244759	COLI-K12-85 // TU00123
PM00149	1194231	COLI-K12-23 // TU00107
PM0-45049	1787627	COLI-K12-35
PM0-45121	1923053	COLI-K12-38
PM00519	952864	COLI-K12-19 // TU00381
PM00593	2403357	COLI-K12-48 // TU00448
PM0-45410	2699184	COLI-K12-54
PM0-45482	2941251	COLI-K12-58
PM0-45778	3586323	COLI-K12-71
PM0-45850	3750009	COLI-K12-75
PM0-10203	903066	COLI-K12-18 // TU0-14678
PM0-10371	3382492	COLI-K12-67 // TU0-14745
PM0-46172	2717953	COLI-K12-54 // TU0-42472
PM0-46335	1504174	COLI-K12-30 // TU0-13264
PM0-46165	1994891	COLI-K12-40 // TU0-42466
PM0-44376	192849	COLI-K12-3
PM0-3821	1864839	COLI-K12-37 // TU0-3621
PM0-9527	1643927	COLI-K12-32 // TU0-14381
PM0-8917	3543618	COLI-K12-71 // TU0-8481
PM0-44738	1129137	COLI-K12-22
PM0-44663	928623	COLI-K12-18
PM00131	1015721	COLI-K12-20 // TU00092
PM00027	167442	COLI-K12-3 // TU00020
PM0-45105	1905533	COLI-K12-38
PM0-45030	1745092	COLI-K12-35
PM00576	2404678	COLI-K12-48 // TU00428
PM00499	4272103	COLI-K12-85 // TU0-6563
PM0-45466	2874566	COLI-K12-57
PM0-45391	2639976	COLI-K12-52
PM0-45834	3714502	COLI-K12-74
PM0-45759	3530560	COLI-K12-70
PM0-10350	246615	COLI-K12-4 // TU0-12849
PM0-10179	4263675	COLI-K12-85 // TU0-14670
PM0-46319	2276419	COLI-K12-45 // TU0-42565
PM0-46127	269450	COLI-K12-5 // TU0-12862
PM0-44360	146959	COLI-K12-2
PM0-36253	3387452	COLI-K12-67 // TU0-13901
PM0-9414	4233881	COLI-K12-84 // TU0-14287 // TU0-14111
PM0-8860	3538079	COLI-K12-70 // TU00269
PM0-44722	1099475	COLI-K12-22 // TU0-13121
PM0-44647	877469	COLI-K12-17
PM00106	1331812	COLI-K12-26 // TU00077
PM00008	4476367	COLI-K12-89 // TU00006
PM0-45089	1875746	COLI-K12-37
PM0-45014	1702785	COLI-K12-34
PM00559	4538832	COLI-K12-91 // TU00409
PM00482	3995994	COLI-K12-80 // TU0-7043
PM0-45450	2793665	COLI-K12-56
PM0-45375	2559924	COLI-K12-51
PM0-45818	3683671	COLI-K12-73
PM0-45743	3497857	COLI-K12-70
PM0-10280	3054873	COLI-K12-61 // TU0-14717
PM0-10158	3929204	COLI-K12-78 // TU0-14662
PM0-46301	1445394	COLI-K12-29 // TU0-42551
PM0-46108	4619680	COLI-K12-92
PM0-44346	35399	COLI-K12-0
PM0-36239	1630747	COLI-K12-32 // TU0-13315
PM0-9374	2860219	COLI-K12-57 // TU0-14275
PM0-8743	159151	COLI-K12-3 // TU0-8361
PM0-44706	1050527	COLI-K12-21
PM0-44630	841415	COLI-K12-16
PM00086	2821841	COLI-K12-56 // TU0-4525 // TU00062
PM0-9991	644257	COLI-K12-12 // TU0-12997
PM0-45073	1846735	COLI-K12-37
PM0-44998	1665359	COLI-K12-33
PM00543	1820307	COLI-K12-36 // TU00398
PM00465	3881905	COLI-K12-77 // TU593
PM0-45434	2753529	COLI-K12-55
PM0-45359	2516328	COLI-K12-50
PM0-45802	3617120	COLI-K12-72
PM963	4391960	COLI-K12-88 // TU801
PM0-10247	711162	COLI-K12-14 // TU0-8265
PM0-45727	3428110	COLI-K12-68
PM0-46235	793974	COLI-K12-15 // TU0-13041
PM0-10138	3440517	COLI-K12-69 // TU0-14658
PM0-4430	3099820	COLI-K12-62 // TU0-4189
PM0-46092	4587018	COLI-K12-91
PM0-9326	454218	COLI-K12-9
PM0-36224	214187	COLI-K12-4 // TU0-12834
PM0-44690	1017683	COLI-K12-20
PM0-8710	2039370	COLI-K12-40 // TU0-8330
PM00061	1277155	COLI-K12-25 // TU00045
PM0-44615	797760	COLI-K12-16
PM0-45057	1805799	COLI-K12-36
PM0-9975	404910	COLI-K12-8 // TU0-8493
PM00527	453658	COLI-K12-9 // TU00386
PM0-44982	1634751	COLI-K12-32
PM0-45418	2723831	COLI-K12-54
PM00446	3488873	COLI-K12-69 // TU0-6554
PM0-45786	3603817	COLI-K12-72
PM0-45343	2465759	COLI-K12-49
PM0-10219	3176096	COLI-K12-63 // TU0-13838
PM787	2599193	COLI-K12-52 // TU686
PM0-46185	1860264	COLI-K12-37 // TU0-42480
PM0-45711	3390206	COLI-K12-67
PM0-4141	1554070	COLI-K12-31 // TU0-3901
PM0-10120	3079729	COLI-K12-61 // TU0-13802
PM0-9198	2974407	COLI-K12-59 // TU0-8762
PM0-46076	4518424	COLI-K12-90
PM0-44674	959355	COLI-K12-19
PM0-36194	1211346	COLI-K12-24 // TU0-36425
PM00039	2350473	COLI-K12-47 // TU00216
PM0-8601	4010907	COLI-K12-80 // TU0-8221
PM0-45041	1763315	COLI-K12-35
PM0-44599	752181	COLI-K12-15
PM00511	458039	COLI-K12-9 // TU0-4931
PM0-9958	106530	COLI-K12-2 // TU0-14606
PM0-45402	2662226	COLI-K12-53
PM0-44966	1607164	COLI-K12-32
PM0-45038	1757505	COLI-K12-35
PM00428	2957033	COLI-K12-59 // TU0-13744 // TU0-6683
PM00507	4617590	COLI-K12-92 // TU0-6646
PM0-45327	2429890	COLI-K12-48
PM0-45399	2657984	COLI-K12-53
PM662	1010882	COLI-K12-20 // TU562
PM0-45767	3564796	COLI-K12-71
PM0-45695	3372698	COLI-K12-67
PM0-10188	4423048	COLI-K12-88 // TU00346
PM0-10101	2650413	COLI-K12-53 // TU0-8526
PM0-46142	2817211	COLI-K12-56 // TU0-42459
PM0-46060	4494370	COLI-K12-90
PM0-36262	1063051	COLI-K12-21 // TU0-36443
PM0-36156	1311722	COLI-K12-26 // TU0-13190
PM0-8905	2176689	COLI-K12-43 // TU0-8469
PM0-8461	3070879	COLI-K12-61 // TU0-8083 // TU0-8081
PM0-44655	911423	COLI-K12-18
PM0-44583	683825	COLI-K12-13
PM00016	808525	COLI-K12-16 // TU00117
PM0-9872	106508	COLI-K12-2 // TU0-12809
PM0-45022	1723956	COLI-K12-34
PM0-44950	1542875	COLI-K12-30
PM00490	4126659	COLI-K12-82 // TU0-3741
PM00412	2533632	COLI-K12-50 // TU0-4782
PM0-45383	2620896	COLI-K12-52
PM0-45311	2383850	COLI-K12-47
PM0-45751	3524296	COLI-K12-70
PM588	460619	COLI-K12-9 // TU488
PM0-10169	4073571	COLI-K12-81 // TU0-14070
PM0-45679	3331247	COLI-K12-66
PM0-46116	4638921	COLI-K12-92
PM0-10083	2267942	COLI-K12-45 // TU0-13550
PM0-36246	2263439	COLI-K12-45 // TU0-13547
PM0-46044	4456038	COLI-K12-89
PM0-8763	1755320	COLI-K12-35 // TU0-8380
PM0-3485	1798842	COLI-K12-36 // TU0-3305
PM0-44639	852303	COLI-K12-17
PM0-8185	702398	COLI-K12-14 // TU0-7805
PM0-9999	879742	COLI-K12-17 // TU0-8633
PM0-44567	669269	COLI-K12-13
PM0-45006	1680086	COLI-K12-33
PM0-9849	1584688	COLI-K12-31 // TU0-7741
PM00474	3948241	COLI-K12-79 // TU0-42516 // TU524
PM0-44934	1513464	COLI-K12-30
PM0-45367	2529429	COLI-K12-50
PM00386	1944048	COLI-K12-39 // TU00353
PM0-45735	3476721	COLI-K12-69
PM0-45295	2362394	COLI-K12-47
PM0-10149	3737697	COLI-K12-74 // TU0-13984
PM503	3559872	COLI-K12-71 // TU401
PM0-46100	4597517	COLI-K12-92
PM0-45663	3291575	COLI-K12-66
PM0-36231	855170	COLI-K12-17 // TU0-8503
PM0-10066	1935518	COLI-K12-38 // TU0-14633
PM0-8731	919560	COLI-K12-18
PM0-46028	4416585	COLI-K12-88
PM0-44622	807153	COLI-K12-16
PM0-2829	1542148	COLI-K12-30 // TU0-2649
PM0-9983	478512	COLI-K12-9 // TU0-12941
PM0-7962	932441	COLI-K12-18
PM0-44990	1646481	COLI-K12-33
PM0-44551	643403	COLI-K12-12
PM00455	3814603	COLI-K12-76 // TU0-14696 // TU00334
PM0-9830		TU0-14547
PM0-45351	2493355	COLI-K12-50
PM0-44918	1493178	COLI-K12-29
PM928	3654814	COLI-K12-73 // TU00282
PM00370	1496767	COLI-K12-30 // TU0-6423
PM0-45719	3411509	COLI-K12-68
PM0-4528	4221675	COLI-K12-84 // TU0-4288
PM0-10129	3237885	COLI-K12-64 // TU0-13860
PM407	3810018	COLI-K12-76 // TU0-5543 // TU00339
PM0-46084	4561753	COLI-K12-91
PM0-45647	3257848	COLI-K12-65
PM0-36213	4233895	COLI-K12-84 // TU0-36435
PM0-10050	1696146	COLI-K12-34 // TU0-13349
PM0-8641	1808194	COLI-K12-36 // TU0-8261
PM0-46012	4335225	COLI-K12-86 // TU0-14134
PM0-44608	784562	COLI-K12-15
PM0-2301	891099	COLI-K12-17 // TU0-2121
PM0-9967	240216	COLI-K12-4 // TU0-8545
PM0-7661	2510756	COLI-K12-50 // TU0-7321
PM0-44974	1619288	COLI-K12-32
PM0-44535	605276	COLI-K12-12
PM00438	3309348	COLI-K12-66 // TU0-6654
PM0-9807		TU0-14524
PM0-45335	2453690	COLI-K12-49
PM0-44902	1475486	COLI-K12-29
PM69	3732929	COLI-K12-74 // TU68
PM00354	954037	COLI-K12-19 // TU00379
PM0-45703	3386285	COLI-K12-67
PM0-45265	2264186	COLI-K12-45
PM0-10112	2906040	COLI-K12-58 // TU0-14653
PM333	3556129	COLI-K12-71 // TU61
PM0-46068	4506709	COLI-K12-90
PM0-45631	3239841	COLI-K12-64
PM0-36183	3214560	COLI-K12-64 // TU0-8327
PM0-10033	1359076	COLI-K12-27 // TU0-13210
PM0-8530	1113436	COLI-K12-22 // TU0-8150
PM0-45996	4277858	COLI-K12-85
PM0-44591	728260	COLI-K12-14
PM0-1986	1366064	COLI-K12-27 // TU0-1805
PM0-9886	656370	COLI-K12-13 // TU0-14576
PM0-7321	1636836	COLI-K12-32 // TU0-6981
PM0-44958	1568608	COLI-K12-31
PM0-44519	558030	COLI-K12-11
PM00420	2748769	COLI-K12-55 // TU00411
PM0-9789		TU0-14509
PM0-45319	2387017	COLI-K12-47
PM0-44886	1421765	COLI-K12-28
PM623	2909377	COLI-K12-58 // TU523
PM00337	431315	COLI-K12-8 // TU00450
PM0-45687	3360061	COLI-K12-67
PM0-4525	57241	COLI-K12-1 // TU0-4285
PM0-10093	2542686	COLI-K12-51 // TU0-13623
PM224	3775312	COLI-K12-75 // TU164
PM0-46052	4477709	COLI-K12-89
PM0-45615	3213518	COLI-K12-64
PM0-36133	3153324	COLI-K12-63 // TU0-13823
PM0-10013	1066981	COLI-K12-21 // TU0-13114
PM0-8261	2152003	COLI-K12-43 // TU0-7881
PM0-45980	4211143	COLI-K12-84
PM0-44575	675813	COLI-K12-13
PM0-1725	1129388	COLI-K12-22 // TU0-1544
PM0-9860		TU0-14559
PM0-6041	4260839	COLI-K12-85 // TU0-5741
PM0-44942	1518120	COLI-K12-30
PM0-44503	513198	COLI-K12-10
PM00401	2311106	COLI-K12-46 // TU0-2644
PM0-9767		TU0-13293
PM0-45303	2379636	COLI-K12-47
PM0-44870	1391145	COLI-K12-27
PM541	1150798	COLI-K12-23 // TU0-42537 // TU441
PM00321	85420	COLI-K12-1 // TU0-6881
PM0-45671	3299459	COLI-K12-66
PM0-45235	2201806	COLI-K12-44
PM0-10075	2083576	COLI-K12-41 // TU0-13489
PM181	1337214	COLI-K12-26 // TU0-1741
PM0-46036	4435696	COLI-K12-88
PM0-45599	3180583	COLI-K12-63
PM0-3303	510797	COLI-K12-10 // TU0-3123
PM-8829	2854850	COLI-K12-57 // TU-8443
PM0-8081	4603717	COLI-K12-92 // TU0-7701
PM0-45964	4113629	COLI-K12-82
PM0-44559	660733	COLI-K12-13
PM0-1382	4373590	COLI-K12-87 // TU0-1222
PM0-9839	2735126	COLI-K12-54 // TU0-13677
PM0-5441		TU0-5221 // TU0-5201
PM0-44926	1500470	COLI-K12-30
PM0-44487	475646	COLI-K12-9
PM00378	1811838	COLI-K12-36 // TU0-6507
PM0-9748		TU0-14492
PM0-45287	2342240	COLI-K12-46
PM0-44854	1342568	COLI-K12-26
PM444	2301599	COLI-K12-46 // TU363
PM00298	1057279	COLI-K12-21 // TU00212
PM0-45655	3285427	COLI-K12-65
PM0-45219	2163615	COLI-K12-43
PM0-10058	1807350	COLI-K12-36 // TU0-13383
PM165	2017619	COLI-K12-40 // TU0-1441
PM0-46020	4373726	COLI-K12-87
PM0-45583	3160873	COLI-K12-63
PM0-2621	4465298	COLI-K12-89 // TU0-2441
PM-8798	687119	COLI-K12-13 // TU-8412
PM0-7803	2004139	COLI-K12-40 // TU0-7461
PM0-45948	4071735	TU0-14069 // COLI-K12-81
PM0-44543	609364	COLI-K12-12
PM0-1284	816137	COLI-K12-16 // TU0-1123
PM0-9816		TU0-14533
PM0-5221	3542689	COLI-K12-71 // TU0-4981
PM0-44910	1488911	COLI-K12-29
PM0-44471	404922	COLI-K12-8
PM00362	1084088	COLI-K12-21 // TU864
PM0-9723	1118294	COLI-K12-22 // TU0-13126
PM0-45272	2278570	COLI-K12-45
PM0-44838	1315330	COLI-K12-26
PM342	4040053	COLI-K12-81 // TU262
PM00276	1899957	COLI-K12-38 // TU00196
PM0-45639	3250783	COLI-K12-65
PM0-45203	2105418	COLI-K12-42
PM0-10041	1521251	COLI-K12-30 // TU0-8638
PM00676	4604455	COLI-K12-92 // TU00521
PM0-46004	4295157	COLI-K12-86
PM0-45567	3131999	COLI-K12-62
PM0-2181	1006895	COLI-K12-20 // TU0-2001
PM0-45932	4042078	COLI-K12-81
PM0-7506	3806539	COLI-K12-76 // TU00293 // TU0-7163
PM-8776	3199064	COLI-K12-64 // TU-8393
PM0-44527	570068	COLI-K12-11
PM0-1101	89596	COLI-K12-1 // TU0-941
PM0-9798		TU0-14518
PM0-4941	365582	COLI-K12-7 // TU0-4701
PM0-44894	1431736	COLI-K12-28
PM0-9704	3210715	COLI-K12-64 // TU0-14460
PM00345	699575	COLI-K12-14 // TU0-6652
PM0-44822	1286411	COLI-K12-25
PM0-45257	2247688	COLI-K12-45
PM00251	1229961	COLI-K12-24 // TU00180
PM325	2598459	COLI-K12-52 // TU0-6483
PM0-45187	2065522	COLI-K12-41
PM0-45623	3233914	COLI-K12-64
PM00660	4390336	COLI-K12-88 // TU00505
PM0-10023	1226832	COLI-K12-24 // TU0-13169
PM0-45551	3107556	COLI-K12-62
PM0-45988	4258164	COLI-K12-85
PM0-45916	4002264	COLI-K12-80
PM0-1881	1669351	COLI-K12-33 // TU0-1701
PM0-10531	174941	COLI-K12-3 // TU0-14806
PM0-6883	3279911	COLI-K12-65 // TU0-6583
PM0-4722	765034	COLI-K12-15 // TU0-4482
PM0-44511	545730	COLI-K12-10
PM0-9657	2868708	COLI-K12-57 // TU00363
PM0-9775		TU0-13510
PM0-44443	320735	COLI-K12-6
PM0-44878	1416243	COLI-K12-28
PM0-44807	1242420	COLI-K12-24
PM00329	218837	COLI-K12-4 // TU0-6562
PM00226	623950	COLI-K12-12 // TU00164
PM0-45242	2223088	COLI-K12-44
PM00644	236913	COLI-K12-4 // TU00489
PM201	4638558	COLI-K12-92 // TU346
PM0-45174	2040285	COLI-K12-40
PM0-45607	3197720	COLI-K12-64
PM0-45535	3053573	COLI-K12-61
PM0-10004	938588	COLI-K12-18 // TU0-13080
PM0-45900	3911834	COLI-K12-78
PM0-45972	4146452	COLI-K12-83
PM0-10501	2023337	COLI-K12-40 // TU0-8788
PM0-1562	4044675	COLI-K12-81 // TU0-1402
PM0-46400	921974	COLI-K12-18 // TU0-14357
PM0-5741	3316584	COLI-K12-66 // TU0-5501
PM0-9622	2698540	COLI-K12-54 // TU0-14421
PM0-44495	504071	COLI-K12-10
PM0-44429	310706	COLI-K12-6
PM0-9759		TU0-14493
PM0-44791	1212507	COLI-K12-24
PM0-44862	1382015	COLI-K12-27
PM00200	2477143	COLI-K12-49 // TU00375
PM00313	1932737	COLI-K12-38 // TU00227
PM00628	2685548	COLI-K12-53 // TU00474
PM0-45227	2182695	COLI-K12-43
PM0-45158	1994921	COLI-K12-40 // TU0-41901
PM173	3517402	COLI-K12-70 // TU872
PM0-45519	3004140	COLI-K12-60
PM0-45591	3167909	COLI-K12-63
PM0-45887	3841924	COLI-K12-77
PM-8814	1719022	COLI-K12-34 // TU-8428
PM0-10464	45592	COLI-K12-0 // TU0-12799
PM0-45956	4084904	COLI-K12-81
PM0-46378	1671803	COLI-K12-33 // TU0-13343
PM0-1346	4205886	COLI-K12-84 // TU0-1186
PM0-44413	284495	COLI-K12-5
PM0-5302	4212179	COLI-K12-84
PM0-44775	1201408	COLI-K12-24
PM0-44479	452910	COLI-K12-9
PM00175	4339910	COLI-K12-87 // TU00131
PM0-9739	4033379	COLI-K12-80 // TU0-14486
PM00611	4328430	COLI-K12-86 // TU0-3882
PM0-44846	1333129	COLI-K12-26
PM0-45142	1958025	TU0-13444 // COLI-K12-39
PM00288	3084070	COLI-K12-61 // TU00204
PM0-45503	2985535	COLI-K12-59
PM0-45211	2113958	COLI-K12-42
PM0-45871	3797421	COLI-K12-76
PM103	1078391	COLI-K12-21 // TU103
PM0-10435	4472087	COLI-K12-89 // TU0-14171
PM0-45575	3145803	COLI-K12-63
PM0-46359	453434	TU0-12927 // COLI-K12-9 // TU0-42605
PM0-45940	4058446	COLI-K12-81
PM0-44397	243468	COLI-K12-4
PM-8786	2287198	COLI-K12-45 // TU-8401
PM0-9569	331263	COLI-K12-6 // TU0-12889
PM0-1164	1830063	COLI-K12-36 // TU0-1004
PM0-44759	1180603	COLI-K12-23
PM0-5063	2788934	COLI-K12-55 // TU0-4823
PM00154	3925054	COLI-K12-78 // TU0-14263 // TU0-14262 // TU00113
PM0-44463	391884	COLI-K12-7
PM0-45126	1928879	COLI-K12-38
PM0-9715	2822416	COLI-K12-56 // TU0-13718
PM00598	1031207	COLI-K12-20 // TU00288
PM0-44830	1305376	COLI-K12-26
